Fund Holdings as of,"May 20, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"BHP","BHP GROUP LTD","Materials","Equity","35,706,534.51","0.20","35,706,534.51","633,544.00","633,544.00","56.36","Australia","Asx - All Markets","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","AUD","-","Jan 2, 1985"
"ORCL","ORACLE CORP","Information Technology","Equity","35,483,175.59","0.20","35,483,175.59","2,155,470.00","2,155,470.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Mar 13, 1986"
"KO","COCA-COLA","Consumer Staples","Equity","35,077,507.56","0.20","35,077,507.56","4,916,410.00","4,916,410.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"GE","GE AEROSPACE","Industrials","Equity","35,012,025.71","0.20","35,012,025.71","1,333,201.00","1,333,201.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","34,843,529.74","0.20","34,843,529.74","2,903,847.00","2,903,847.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Sep 30, 2020"
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","34,577,683.00","0.19","34,577,683.00","411,345.00","411,345.00","84.06","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","34,361,998.59","0.19","34,361,998.59","1,264,601.00","1,264,601.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","Consumer Discretionary","Equity","33,436,480.13","0.19","33,436,480.13","318,140.00","318,140.00","105.10","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","33,375,865.38","0.19","33,375,865.38","208,743.00","208,743.00","159.89","Australia","Asx - All Markets","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","AUD","-","Oct 1, 1991"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","32,733,736.57","0.18","32,733,736.57","380,958.00","380,958.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","May 4, 1999"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","32,679,434.55","0.18","32,679,434.55","1,980,183.00","1,980,183.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Mar 17, 2008"
"SAP","SAP","Information Technology","Equity","31,906,922.30","0.18","31,906,922.30","130,254.00","130,254.00","244.96","Germany","Xetra","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","EUR","-","Mar 23, 1989"
